imonth,extended,crit1,crit2,crit3,doubtterr,longitude,latitude,attacktype1,success,suicide,weaptype1,weapsubtype1,targtype1,targsubtype1,gname,nperps,nperpcap,claimed,nkill,nkillter,nwound,nwoundte,property,ishostkid,hostkidoutcome,city,weaptype1_txt,targtype1_txt,attacktype1_txt
9,0,1,1,1,0,74.092404,33.767001,2,1,0,5,-1,14,68,Unknown,-1,-1,0,5,-1,0,-1,-1,0,-1,Poonch District,Firearms,Private Citizens & Property,Armed Assault
10,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,3,23,Militants,-1,0,0,0,0,10,0,-1,0,-1,Srinagar,Explosives,Police,Bombing/Explosion
10,0,1,1,1,1,75.157913,33.732216,3,1,0,6,7,4,27,Unknown,-1,0,0,-1,-1,-1,-1,1,0,-1,Anantnag,Explosives,Military,Bombing/Explosion
10,0,1,1,1,1,74.463715,34.288891,3,1,0,6,-1,4,34,Unknown,-1,0,0,-1,0,-1,-1,-1,0,-1,Sopore,Explosives,Military,Bombing/Explosion
10,0,1,1,1,1,74.789902,34.08374,3,1,0,6,7,4,27,Unknown,-1,0,0,0,0,2,0,-1,0,-1,Srinagar,Explosives,Military,Bombing/Explosion
10,0,1,1,1,1,75.142965,32.914059,3,1,0,6,15,4,27,Unknown,-1,0,0,2,0,4,0,-1,0,-1,Udhampur district,Explosives,Military,Bombing/Explosion
10,0,1,1,1,1,74.263416,33.639869,7,1,0,5,-1,3,22,Lashkar-e-Taiba (LeT),2,0,1,2,1,-1,-1,-1,0,-1,Surankot,Firearms,Police,Facility/Infrastructure Attack
11,0,1,1,1,0,74.619743,34.104275,3,1,0,6,8,14,67,Unknown,-1,0,0,8,0,0,0,-1,0,-1,Mazhom,Explosives,Private Citizens & Property,Bombing/Explosion
11,0,1,1,1,0,74.857026,32.726602,2,1,0,5,-1,14,73,Unknown,-1,0,0,0,0,0,0,1,0,-1,Jammu,Firearms,Private Citizens & Property,Armed Assault
11,0,1,1,1,0,75.763367,33.313294,6,1,0,5,-1,14,69,Lashkar-e-Taiba (LeT),10,0,0,5,0,0,0,0,1,6,Kishtwar,Firearms,Private Citizens & Property,Hostage Taking (Kidnapping)
12,0,1,1,1,0,74.553093,34.161541,3,1,0,6,7,3,23,Unknown,-1,-1,0,0,0,12,0,1,0,-1,Pattan,Explosives,Police,Bombing/Explosion
12,0,1,1,1,0,74.789902,34.08374,3,1,0,6,7,3,23,Unknown,-1,-1,0,0,0,3,0,1,0,-1,Srinagar,Explosives,Police,Bombing/Explosion
12,0,1,1,1,0,74.789902,34.08374,3,1,0,6,15,14,67,Unknown,-1,-1,0,0,0,0,0,1,0,-1,Srinagar,Explosives,Private Citizens & Property,Bombing/Explosion
